Time,open,high,low,close,volume
2020-01-01 20:00:00,0.67225,0.67375,0.67209,0.67362,7982.530000000001
2020-01-02 00:00:00,0.67362,0.67395,0.67219,0.67223,28065.54
2020-01-02 04:00:00,0.67224,0.6725,0.6714,0.67215,24929.03
2020-01-02 08:00:00,0.67214,0.67253,0.66846,0.66885,30973.39
2020-01-02 12:00:00,0.66885,0.67138,0.66853,0.67125,54206.47999
2020-01-02 16:00:00,0.67125,0.67138,0.66847,0.66935,19367.68
2020-01-02 20:00:00,0.66935,0.67041,0.66905,0.66985,11287.83
2020-01-03 00:00:00,0.66985,0.6699,0.66705,0.66759,32358.32007
2020-01-03 04:00:00,0.66759,0.66784,0.6657,0.66638,31616.01003
2020-01-03 08:00:00,0.66637,0.66739,0.66443,0.6653,37448.42003
2020-01-03 12:00:00,0.66529,0.66749,0.66504,0.66682,42006.83002
2020-01-03 16:00:00,0.66685,0.66739,0.66631,0.66685,17307.1
2020-01-03 20:00:00,0.66684,0.66703,0.66628,0.66645,5016.06
2020-01-05 20:00:00,0.6659,0.66593,0.66517,0.66542,10513.48001
2020-01-06 00:00:00,0.66541,0.6666,0.66508,0.66528,29697.97003
2020-01-06 04:00:00,0.66527,0.66589,0.66444,0.66571,27815.31004
2020-01-06 08:00:00,0.66572,0.66793,0.66569,0.66766,34707.82005
2020-01-06 12:00:00,0.66766,0.66802,0.66511,0.66705,34579.610010000004
2020-01-06 16:00:00,0.66705,0.66722,0.66613,0.66647,14971.67
2020-01-06 20:00:00,0.66647,0.66759,0.66641,0.66684,9561.15
2020-01-07 00:00:00,0.66684,0.66793,0.66583,0.66758,18897.63
2020-01-07 04:00:00,0.66757,0.66778,0.66477,0.66492,29179.67002
2020-01-07 08:00:00,0.66491,0.66689,0.66399,0.66444,31421.38
2020-01-07 12:00:00,0.66445,0.66509,0.66251,0.66335,36862.58003
2020-01-07 16:00:00,0.66335,0.66441,0.66256,0.66423,12940.85
2020-01-07 20:00:00,0.66423,0.66431,0.66255,0.66308,12901.78
2020-01-08 00:00:00,0.66308,0.66521,0.66178,0.66443,64010.1901
2020-01-08 04:00:00,0.66441,0.66712,0.66389,0.66704,23034.12001
2020-01-08 08:00:00,0.66708,0.66724,0.66457,0.66478,41095.46007
2020-01-08 12:00:00,0.66478,0.66492,0.66301,0.66339,40074.82001
2020-01-08 16:00:00,0.66339,0.66597,0.66282,0.66521,23391.74
2020-01-08 20:00:00,0.66524,0.66569,0.66458,0.66541,9590.01
2020-01-09 00:00:00,0.66542,0.66585,0.66439,0.66475,24747.18
2020-01-09 04:00:00,0.66475,0.66521,0.66443,0.66458,16319.79
2020-01-09 08:00:00,0.66459,0.6647,0.66116,0.66128,32225.87003
