Indicator_Num,Indicator,Symbol,Timeframe,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,TP_Pips,SL_Pips,Spread_Pips,Slippage_Pips,Entry_period,Total_Return,Max_Drawdown,Daily_Drawdown,Win_Rate_%,Total_Trades,Winning_Trades,Losing_Trades,Avg_Win,Avg_Loss,Highest_Win,Highest_Loss,Gross_Profit,Commission,Net_Profit,Profit_Factor,Sharpe_Ratio
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,15,2.000000,0.500000,NA,0.084300,0.063500,0.000000,30.110000,704,212,492,0.460000,-0.180000,1.130000,-0.870000,96.650000,2.110000,8.430000,1.122000,0.939000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,2.000000,0.500000,NA,0.047600,0.083800,0.000000,33.280000,631,210,421,0.460000,-0.210000,1.130000,-0.870000,95.880000,1.890000,4.760000,1.075000,0.576000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,25,2.000000,0.500000,NA,0.028900,0.086800,0.000000,36.380000,569,207,362,0.460000,-0.250000,1.130000,-0.910000,94.740000,1.710000,2.890000,1.051000,0.390000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,30,2.000000,0.500000,NA,0.028400,0.098900,0.000000,39.580000,518,205,313,0.460000,-0.280000,1.130000,-0.910000,93.520000,1.550000,2.840000,1.049000,0.365000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,40,2.000000,0.500000,NA,0.034500,0.104200,0.000000,44.790000,451,202,249,0.460000,-0.350000,1.130000,-0.930000,92.600000,1.350000,3.450000,1.055000,0.385000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,2.000000,0.500000,NA,0.072500,0.106200,0.000000,50.260000,386,194,192,0.450000,-0.420000,1.130000,-0.930000,88.230000,1.160000,7.250000,1.105000,0.661000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,10,2.000000,0.500000,NA,0.067300,0.073200,0.000000,22.250000,719,160,559,0.550000,-0.140000,1.130000,-0.520000,88.640000,2.160000,6.730000,1.111000,0.787000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,15,2.000000,0.500000,NA,0.104300,0.066600,0.000000,26.900000,617,166,451,0.550000,-0.180000,1.130000,-0.870000,91.590000,1.850000,10.430000,1.155000,1.054000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,20,2.000000,0.500000,NA,0.077900,0.072300,0.000000,30.130000,551,166,385,0.550000,-0.210000,1.130000,-0.870000,91.430000,1.650000,7.790000,1.115000,0.791000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,25,2.000000,0.500000,NA,0.080400,0.074900,0.000000,33.600000,497,167,330,0.550000,-0.250000,1.130000,-0.910000,92.140000,1.490000,8.040000,1.115000,0.784000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,30,2.000000,0.500000,NA,0.066200,0.097600,0.000000,36.440000,450,164,286,0.550000,-0.290000,1.130000,-0.910000,90.500000,1.350000,6.620000,1.097000,0.642000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,40,2.000000,0.500000,NA,0.069000,0.099000,0.000000,41.580000,392,163,229,0.550000,-0.360000,1.130000,-0.930000,89.940000,1.180000,6.900000,1.099000,0.631000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,50,2.000000,0.500000,NA,0.105200,0.100000,0.000000,46.630000,341,159,182,0.550000,-0.420000,1.130000,-0.930000,87.450000,1.020000,10.520000,1.152000,0.888000
