Indicator_Num,Indicator_Name,Entry_Params,Exit_Params,Entry_Combinations,Exit_Combinations,Total_Combinations
82,082_trend_coppock,"roc1, roc2, wma_period","tp_pips, sl_pips",8000,156,1248000
83,083_trend_detrendedprice,period,"tp_pips, sl_pips",20,156,3120
84,084_trend_efficiencyratio,period,"tp_pips, sl_pips",20,156,3120
85,085_volume_elderforce,period,"tp_pips, sl_pips",20,156,3120
86,086_trend_frama,period,"tp_pips, sl_pips",20,156,3120
87,087_trend_gaussian,"period, poles","tp_pips, sl_pips",220,156,34320
88,088_trend_highlowindex,period,"tp_pips, sl_pips",20,156,3120
89,089_trend_histvol,period,"tp_pips, sl_pips",20,156,3120
90,090_trend_hullmaosc,period,"tp_pips, sl_pips",20,156,3120
91,091_trend_instantaneous,"period, threshold","tp_pips, sl_pips",400,156,62400
92,092_trend_kauffman,"er_period, fast_ema, slow_ema","tp_pips, sl_pips",2400,156,374400
93,093_trend_laguerre,gamma,"tp_pips, sl_pips",20,156,3120
94,094_trend_linearregslope,period,"tp_pips, sl_pips",20,156,3120
95,095_volume_mfi_extended,"period, overbought, oversold","tp_pips, sl_pips",8000,156,1248000
96,096_trend_mcginleydynamic,"period, constant","tp_pips, sl_pips",400,156,62400
97,097_trend_parabolicsar_extended,"af_start, af_increment, af_max","tp_pips, sl_pips",8000,156,1248000
98,098_trend_pivotpoints,,"tp_pips, sl_pips",1,156,156
99,099_trend_priceoscillator,"fast, slow, signal","tp_pips, sl_pips",8000,156,1248000
100,100_trend_renko,brick_size,"tp_pips, sl_pips",20,156,3120
101,101_trend_inversefisher,period,"tp_pips, sl_pips",20,156,3120
102,102_trend_connorsrsi,"rsi_period, streak_period, pct_rank_period","tp_pips, sl_pips",960,156,149760
103,103_trend_laguerrersi,gamma,"tp_pips, sl_pips",20,156,3120
104,104_trend_rmi,"period, momentum_period","tp_pips, sl_pips",280,156,43680
105,105_trend_ergodic,"long_period, short_period, signal_period","tp_pips, sl_pips",3920,156,611520
106,106_trend_cog,period,"tp_pips, sl_pips",20,156,3120
107,107_trend_cybercycle,alpha,"tp_pips, sl_pips",20,156,3120
108,108_trend_decycler,hp_period,"tp_pips, sl_pips",20,156,3120
109,109_trend_ebs,hp_period,"tp_pips, sl_pips",20,156,3120
110,110_trend_hilbert,,"tp_pips, sl_pips",1,156,156
111,111_trend_reflex,period,"tp_pips, sl_pips",20,156,3120
112,112_trend_trendvigor,period,"tp_pips, sl_pips",20,156,3120
113,113_trend_correlationcycle,period,"tp_pips, sl_pips",20,156,3120
114,114_trend_dominantcycle,"min_period, max_period","tp_pips, sl_pips",400,156,62400
115,115_trend_phaseaccumulation,"period, threshold","tp_pips, sl_pips",400,156,62400
116,116_trend_sinewave,period,"tp_pips, sl_pips",20,156,3120
117,117_trend_fractaldimension,period,"tp_pips, sl_pips",20,156,3120
118,118_trend_hurstexponent,period,"tp_pips, sl_pips",20,156,3120
119,119_trend_entropy,"period, threshold","tp_pips, sl_pips",400,156,62400
120,120_trend_marketstate,,"tp_pips, sl_pips",1,156,156
121,121_trend_regimedetection,"period, threshold","tp_pips, sl_pips",400,156,62400
122,122_trend_cycleperiod,"min_period, max_period","tp_pips, sl_pips",400,156,62400
123,123_trend_adaptivemacd,"fast_base, slow_base, signal","tp_pips, sl_pips",8000,156,1248000
124,124_trend_macddivergence,,"tp_pips, sl_pips",1,156,156
